"species","nursery","date","site","batch_id","batch_id2","volume","calliper300","rcd","height_m","sizeindex","logSI","logvol","logH","logD","logRCD","colorspec"
"angophora_costata","a_kc",2016-05-23,"Kemps Creek","001-A-063","001-A-063-angophora_costata",45,30.07,43.035,1.905,57.28335,1.75802840811216,1.65321251377534,0.279894980011638,1.47813342810052,1.63382180730168,"#7FC97F"
"angophora_costata","a_kc",2016-05-23,"Kemps Creek","001-A-063","001-A-063-angophora_costata",45,24.51,36.68,1.825,44.73075,1.65060618004457,1.65321251377534,0.261262868792493,1.38934331125208,1.56442932699798,"#7FC97F"
"angophora_costata","a_kc",2016-05-23,"Kemps Creek","001-A-063","001-A-063-angophora_costata",45,31.585,41.775,2.483,78.425555,1.89445760078495,1.65321251377534,0.394976719554564,1.49948088123039,1.62091645856543,"#7FC97F"
"angophora_costata","a_kc",2016-05-23,"Kemps Creek","001-A-063","001-A-063-angophora_costata",45,28.745,34.325,2.51,72.14995,1.85823603446303,1.65321251377534,0.399673721481038,1.45856231298199,1.53561054590879,"#7FC97F"
"angophora_costata","a_kc",2016-05-23,"Kemps Creek","001-A-063","001-A-063-angophora_costata",45,28.9,37.33,1.69,48.841,1.68878454737022,1.65321251377534,0.227886704613674,1.46089784275655,1.5720579899263,"#7FC97F"
"angophora_costata","a_kc",2016-05-23,"Kemps Creek","001-A-063","001-A-063-angophora_costata",45,28.645,45.18,2.776,79.51852,1.90046828836845,1.65321251377534,0.443419461782817,1.45704882658563,1.65494622658434,"#7FC97F"
"angophora_costata","a_kc",2016-05-23,"Kemps Creek","001-A-063","001-A-063-angophora_costata",45,31.895,44.44,2.593,82.703735,1.91752512325583,1.65321251377534,0.413802516769351,1.50372260648648,1.64777405026883,"#7FC97F"
"angophora_costata","a_kc",2016-05-23,"Kemps Creek","001-A-063","001-A-063-angophora_costata",45,30.64,44.405,3.16,96.8224,1.98597584357897,1.65321251377534,0.499687082618404,1.48628876096057,1.6474318743973,"#7FC97F"
"angophora_costata","a_kc",2016-05-23,"Kemps Creek","001-A-063","001-A-063-angophora_costata",45,32.015,52.245,3.215,102.928225,2.01253448342043,1.65321251377534,0.507180977260241,1.50535350616019,1.71804473351392,"#7FC97F"
"angophora_costata","a_kc",2016-05-23,"Kemps Creek","001-A-063","001-A-063-angophora_costata",45,36.09,48.67,3.135,113.14215,2.05362442722624,1.65321251377534,0.496237545166735,1.55738688205951,1.68726134624351,"#7FC97F"
